t,o,h,l,c,v,s
1735694280,3354.15,3354.65,3353,3353,16373,ETH_USDT
1735694280,2.0996,2.0996,2.0984,2.0989,310,XRP_USDT
1735694280,0.31882,0.31884,0.31876,0.31876,3564,DOGE_USDT
1735694280,190.97,190.97,190.88,190.92,309,SOL_USDT
1735694280,93964.3,93967.9,93958.3,93958.4,27679,BTC_USDT
1735694340,93958.4,93991.1,93952,93965.5,115487,BTC_USDT
1735694340,2.0989,2.1003,2.0985,2.0999,270,XRP_USDT
1735694340,3352.9,3354.45,3352.35,3354.1,16401,ETH_USDT
1735694340,0.31884,0.31903,0.31879,0.31889,6314,DOGE_USDT
1735694340,190.9,190.97,190.81,190.91,1151,SOL_USDT
1735694400,0.3189,0.31912,0.3189,0.3189,11653,DOGE_USDT
1735694400,2.0998,2.1012,2.0995,2.0995,260,XRP_USDT
1735694400,190.93,191.05,190.93,190.98,265,SOL_USDT
1735694400,3353.85,3356.25,3353.85,3355.3,31790,ETH_USDT
1735694400,93965.5,93974.5,93954.4,93958.5,34885,BTC_USDT
